Valid,sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,ResponseID,pid,Check,solar,System_Random1,System_Random2,System_Random3,System_Random4,System_Random5,System_Random6,System_Random7,System_Fixed1,System_Random8,System_Random9,System_Random10,System_Random11,System_Random12,System_Random13,System_Random14,System_Random15,sys_CBCVersion_System,sys_CBCDesignID_System,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
1,51,22 Nov 2016 - 17:10:11 EST,22 Nov 2016 - 17:13:30 EST,0h 3m 19s,0h 3m 17s,1479852611,1479852810,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,99.64.172.8,1600,,R_0Il0wTWoqYoqIox,R_0Il0wTWoqYoqIox,1,No,4,4,2,2,4,4,4,4,4,4,4,4,2,4,1,4,51,CBC2_1479576680_6,,27,22,20,9,23,9,9,6,10,8,10,6,14,8,8,8
1,37,22 Nov 2016 - 16:41:36 EST,22 Nov 2016 - 16:44:43 EST,0h 3m 7s,0h 3m 6s,1479850896,1479851083,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 5.1; rv:50.0) Gecko/20100101 Firefox/50.0,Windows XP,Firefox 50.0,68.189.32.91,1024,,R_12DM9cYRbERl70d,R_12DM9cYRbERl70d,1,No,4,1,3,2,2,2,2,4,3,4,4,3,4,2,4,4,37,CBC2_1479576680_6,,26,13,13,12,10,10,19,8,10,7,7,13,6,15,7,10
1,77,22 Nov 2016 - 17:44:53 EST,22 Nov 2016 - 17:47:22 EST,0h 2m 29s,0h 2m 28s,1479854693,1479854842,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,72.47.20.25,1366,,R_1BVo5gqwQe36lox,R_1BVo5gqwQe36lox,1,Yes,3,1,3,2,1,2,2,3,2,3,1,3,3,2,1,2,77,CBC2_1479576680_6,,26,13,9,9,8,10,5,9,10,7,8,6,9,6,5,8
1,159,22 Nov 2016 - 21:32:17 EST,22 Nov 2016 - 21:39:10 EST,0h 6m 53s,0h 6m 52s,1479868337,1479868750,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,45.48.59.37,1680,,R_1Cp55fmGoi0OoOj,R_1Cp55fmGoi0OoOj,1,No,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,159,CBC2_1479576680_6,,56,17,12,62,13,54,22,34,20,19,10,28,6,37,15,7
1,24,22 Nov 2016 - 16:09:49 EST,22 Nov 2016 - 16:12:53 EST,0h 3m 4s,0h 3m 4s,1479848989,1479849173,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,130.65.109.111,1366,,R_1excQwWLW5FCDaV,R_1excQwWLW5FCDaV,1,No,3,4,3,4,4,2,4,3,4,4,4,1,4,4,3,4,24,CBC2_1479576680_6,,24,15,15,7,8,10,9,11,8,9,10,11,7,14,19,7
1,42,22 Nov 2016 - 16:49:27 EST,22 Nov 2016 - 16:54:09 EST,0h 4m 42s,0h 4m 41s,1479851367,1479851649,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,97.84.107.234,1344,,R_1fa1mEj3LFfy9Tv,R_1fa1mEj3LFfy9Tv,1,No,2,2,3,4,2,2,4,3,4,4,4,4,4,3,4,4,42,CBC2_1479576680_6,,29,32,18,25,12,12,20,17,16,17,14,10,14,14,16,15
1,67,22 Nov 2016 - 17:22:23 EST,22 Nov 2016 - 17:25:42 EST,0h 3m 19s,0h 3m 18s,1479853343,1479853542,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",iOS 9.3.5,Safari 9.0,71.93.240.27,768,,R_1gNGin72iadR9X2,R_1gNGin72iadR9X2,1,No,2,3,1,1,4,2,1,3,3,3,2,1,4,1,2,4,67,CBC2_1479576680_6,,12,14,10,12,10,9,9,13,13,32,11,11,14,11,9,8
1,109,22 Nov 2016 - 18:55:53 EST,22 Nov 2016 - 19:06:17 EST,0h 10m 24s,0h 10m 23s,1479858953,1479859577,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",,Safari 602.1,72.74.207.175,1024,,R_1GOoMLxg1hICmpk,R_1GOoMLxg1hICmpk,1,No,3,2,3,2,3,1,3,3,1,4,3,4,2,3,3,4,109,CBC2_1479576680_6,,176,33,25,28,38,79,30,21,25,19,16,20,25,24,13,51
1,62,22 Nov 2016 - 17:20:21 EST,22 Nov 2016 - 17:26:12 EST,0h 5m 51s,0h 5m 49s,1479853221,1479853572,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4",iOS 8.1.2,Safari 8.0,108.7.222.14,768,,R_1gRNfqN6snnfXGj,R_1gRNfqN6snnfXGj,1,No,2,1,2,2,1,2,2,3,1,2,2,2,2,3,3,2,62,CBC2_1479576680_6,,9,43,6,5,11,6,43,19,16,53,25,9,19,46,11,28
1,149,22 Nov 2016 - 19:59:12 EST,22 Nov 2016 - 20:23:35 EST,0h 24m 23s,0h 24m 23s,1479862752,1479864215,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,75.134.12.149,1360,,R_1gvgBsVFhMuzCCN,R_1gvgBsVFhMuzCCN,1,No,3,2,2,2,2,2,1,3,3,1,2,2,1,1,1,2,149,CBC2_1479576680_6,,81,34,22,29,411,21,46,80,68,415,24,36,27,25,41,103
