sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,pid,solar,InstallerCBC_Random1,InstallerCBC_Random2,InstallerCBC_Random3,InstallerCBC_Random4,InstallerCBC_Random5,InstallerCBC_Random6,InstallerCBC_Random7,InstallerCBC_Fixed1,InstallerCBC_Random8,InstallerCBC_Random9,InstallerCBC_Random10,InstallerCBC_Random11,InstallerCBC_Random12,InstallerCBC_Random13,InstallerCBC_Random14,InstallerCBC_Random15,sys_CBCVersion_InstallerCBC,sys_CBCDesignID_InstallerCBC,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
36,6 Oct 2016 - 15:33:59 EST,6 Oct 2016 - 15:37:59 EST,0h 4m 0s,0h 4m 0s,1475786039,1475786279,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",Mac OS X 10.12.0,Chrome 53.0.2785.143,23.31.165.70,1383,,R_28TDyltMNWLENok,No,3,3,3,2,2,3,1,3,3,1,1,3,3,3,2,2,36,CBC1_1474925155_6,,31,22,19,14,11,12,9,10,14,9,26,21,10,10,12,10
37,6 Oct 2016 - 15:34:34 EST,6 Oct 2016 - 15:38:57 EST,0h 4m 23s,0h 4m 22s,1475786074,1475786337,1,5,,ToQualtrics,1,"Mozilla/5.0 (X11; CrOS x86_64 8530.93.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.144 Safari/537.36",Chrome OS,Chrome 53.0.2785.144,73.196.45.100,1366,,R_sAyAudVnVmAvYl3,No,1,1,2,3,4,3,4,3,3,2,4,3,4,3,4,2,37,CBC1_1474925155_6,,29,39,18,14,23,17,15,16,14,22,5,22,8,8,5,7
38,6 Oct 2016 - 15:37:19 EST,6 Oct 2016 - 15:47:50 EST,0h 10m 31s,0h 10m 31s,1475786239,1475786870,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",Windows 8.1,Chrome 53.0.2785.143,138.210.1.212,1366,,R_808niaOw404RzSp,No,3,1,3,1,1,2,3,3,1,3,1,1,2,2,1,1,38,CBC1_1474925155_6,,100,51,46,33,34,26,12,25,15,29,51,10,18,145,9,27
39,6 Oct 2016 - 15:38:15 EST,6 Oct 2016 - 15:41:21 EST,0h 3m 6s,0h 3m 5s,1475786295,1475786481,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; rv:49.0) Gecko/20100101 Firefox/49.0,Windows 7,Firefox 49.0,99.191.42.108,1024,,R_2aKMUpnpGxLe7Kr,No,2,2,3,4,1,4,1,3,1,3,4,1,4,1,1,3,39,CBC1_1474925155_6,,22,13,13,9,14,8,14,10,9,9,8,13,10,9,9,15
40,6 Oct 2016 - 16:11:29 EST,6 Oct 2016 - 16:15:55 EST,0h 4m 26s,0h 4m 25s,1475788289,1475788555,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0,Windows 10.0,Firefox 49.0,198.98.113.155,1349,,R_Zqm2xi2DbvUSFah,No,1,2,3,1,1,3,3,3,1,2,3,4,1,3,1,2,40,CBC1_1474925155_6,,29,17,17,20,16,18,15,19,11,13,33,13,9,11,12,12
41,6 Oct 2016 - 16:47:28 EST,6 Oct 2016 - 16:57:22 EST,0h 9m 54s,0h 9m 52s,1475790448,1475791042,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 7,Firefox 50.0,75.117.79.226,1024,,R_e3hfcL3YRYKj9yd,No,1,2,3,2,1,3,2,3,2,4,3,4,1,4,4,1,41,CBC1_1474925155_6,,146,29,11,80,10,13,95,11,6,14,11,8,39,41,48,30
42,6 Oct 2016 - 16:53:08 EST,6 Oct 2016 - 16:57:45 EST,0h 4m 37s,0h 4m 37s,1475790788,1475791065,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",Windows 10.0,Chrome 53.0.2785.143,23.255.170.63,1920,,R_3IVMZ0dSC8nZPen,No,3,3,1,1,3,3,1,3,2,1,4,4,3,2,2,3,42,CBC1_1474925155_6,,74,12,21,8,32,28,5,7,6,10,11,5,5,46,3,4
44,6 Oct 2016 - 21:18:00 EST,6 Oct 2016 - 21:21:50 EST,0h 3m 50s,0h 3m 48s,1475806680,1475806910,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/601.6.17",Mac OS X 10.11.5,Safari 9.1.1,100.33.151.252,971,,R_3oZs6vfg1aejMet,No,3,2,2,2,3,2,1,3,2,1,1,2,1,1,2,2,44,CBC1_1474925155_6,,18,11,11,12,6,36,7,6,17,9,12,27,7,29,11,9
45,6 Oct 2016 - 21:20:09 EST,6 Oct 2016 - 21:22:53 EST,0h 2m 44s,0h 2m 40s,1475806809,1475806973,1,5,,ToQualtrics,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/537.86.7",Mac OS X 10.9.5,Safari 9.1.3,75.143.66.16,1344,,R_2Ez5kC1R8oOCd4e,No,2,2,4,1,4,4,2,3,4,2,4,4,3,2,4,2,45,CBC1_1474925155_6,,20,13,23,8,11,11,9,8,6,15,5,8,9,4,5,5
46,6 Oct 2016 - 21:20:12 EST,6 Oct 2016 - 21:24:10 EST,0h 3m 58s,0h 3m 58s,1475806812,1475807050,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",Windows 7,Chrome 53.0.2785.143,209.222.15.231,1920,,R_3Rk1ePEsIRfcugg,No,3,1,3,3,3,2,1,3,1,2,3,3,1,1,1,2,46,CBC1_1474925155_6,,29,13,14,19,9,12,18,16,12,21,7,16,12,9,15,16
47,6 Oct 2016 - 21:21:08 EST,6 Oct 2016 - 21:26:40 EST,0h 5m 32s,0h 5m 31s,1475806868,1475807200,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36",Windows 10.0,Chrome 53.0.2785.143,68.116.199.208,1600,,R_dgr0tLx5F9YukPT,No,4,4,4,4,4,3,4,3,4,3,4,4,4,3,1,4,47,CBC1_1474925155_6,,47,27,27,41,14,26,20,20,9,16,12,10,10,17,27,8
48,6 Oct 2016 - 21:22:24 EST,6 Oct 2016 - 21:27:35 EST,0h 5m 11s,0h 5m 11s,1475806944,1475807255,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0,Windows 7,Firefox 49.0,74.106.182.187,1600,,R_Z2BwbQlvLlVFC3n,No,2,1,2,1,2,3,2,3,3,2,3,2,4,2,1,3,48,CBC1_1474925155_6,,123,36,13,9,9,15,8,11,9,9,11,16,16,6,14,6
