Valid,sys_RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_DataSource,sys_RespStatus,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,pid,solar,InstallerCBC_Random1,InstallerCBC_Random2,InstallerCBC_Random3,InstallerCBC_Random4,InstallerCBC_Random5,InstallerCBC_Random6,InstallerCBC_Random7,InstallerCBC_Fixed1,InstallerCBC_Random8,InstallerCBC_Random9,InstallerCBC_Random10,InstallerCBC_Random11,InstallerCBC_Random12,InstallerCBC_Random13,InstallerCBC_Random14,InstallerCBC_Random15,sys_CBCVersion_InstallerCBC,sys_CBCDesignID_InstallerCBC,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17
1,55,22 Nov 2016 - 17:05:15 EST,22 Nov 2016 - 17:08:58 EST,0h 3m 43s,0h 3m 40s,1479852315,1479852538,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,99.64.172.8,1600,,R_0Il0wTWoqYoqIox,No,3,2,4,4,4,4,2,3,4,4,4,2,4,4,4,4,55,CBC1_1474925155_6,,54,24,13,11,29,7,12,9,6,7,6,13,6,6,9,8
1,39,22 Nov 2016 - 16:34:15 EST,22 Nov 2016 - 16:39:22 EST,0h 5m 7s,0h 5m 6s,1479850455,1479850762,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 5.1; rv:50.0) Gecko/20100101 Firefox/50.0,Windows XP,Firefox 50.0,68.189.32.91,1024,,R_12DM9cYRbERl70d,No,2,4,3,1,1,4,1,3,1,3,3,1,4,4,2,2,39,CBC1_1474925155_6,,31,27,31,16,16,17,25,18,17,12,17,15,23,8,18,15
1,79,22 Nov 2016 - 17:41:27 EST,22 Nov 2016 - 17:43:32 EST,0h 2m 5s,0h 2m 4s,1479854487,1479854612,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,72.47.20.25,1366,,R_1BVo5gqwQe36lox,Yes,1,3,3,2,3,1,2,3,1,1,1,3,4,3,1,3,79,CBC1_1474925155_6,,12,9,8,5,6,7,7,10,6,5,5,11,8,8,7,10
1,129,22 Nov 2016 - 19:13:17 EST,22 Nov 2016 - 19:25:10 EST,0h 11m 53s,0h 11m 53s,1479859997,1479860710,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Windows 10.0,Edge 14.14393,45.48.59.37,1680,,R_1Cp55fmGoi0OoOj,No,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4,4,129,CBC1_1474925155_6,,273,60,12,35,23,11,20,18,8,24,5,7,177,6,24,10
1,24,22 Nov 2016 - 16:04:01 EST,22 Nov 2016 - 16:07:44 EST,0h 3m 43s,0h 3m 43s,1479848641,1479848864,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,130.65.109.111,1366,,R_1excQwWLW5FCDaV,No,1,2,4,3,4,2,4,3,1,4,1,4,1,3,3,4,24,CBC1_1474925155_6,,26,17,29,23,18,9,7,12,11,9,9,8,13,11,12,9
1,41,22 Nov 2016 - 16:39:24 EST,22 Nov 2016 - 16:46:07 EST,0h 6m 43s,0h 6m 43s,1479850764,1479851167,1,5,,ToQualtrics,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Windows 10.0,Firefox 50.0,97.84.107.234,1344,,R_1fa1mEj3LFfy9Tv,No,4,1,4,4,1,3,4,3,4,4,3,4,4,4,4,4,41,CBC1_1474925155_6,,65,46,27,48,13,33,22,19,12,20,13,13,18,21,16,17
1,67,22 Nov 2016 - 17:15:25 EST,22 Nov 2016 - 17:19:02 EST,0h 3m 37s,0h 3m 36s,1479852925,1479853142,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",iOS 9.3.5,Safari 9.0,71.93.240.27,768,,R_1gNGin72iadR9X2,No,3,1,2,2,3,2,3,3,1,4,2,4,3,4,4,3,67,CBC1_1474925155_6,,23,22,7,10,10,12,13,11,12,13,14,30,10,13,8,8
1,108,22 Nov 2016 - 18:45:22 EST,22 Nov 2016 - 18:52:39 EST,0h 7m 17s,0h 8m 6s,1479858322,1479858759,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",,Safari 602.1,72.74.207.175,1024,,R_1GOoMLxg1hICmpk,No,1,2,2,4,3,1,3,3,4,3,4,3,2,4,1,3,108,CBC1_1474925155_6,,48,23,21,20,80,39,28,26,13,34,25,21,20,23,17,23
1,46,22 Nov 2016 - 16:50:08 EST,22 Nov 2016 - 16:52:44 EST,0h 2m 36s,0h 2m 32s,1479851408,1479851564,1,5,,ToQualtrics,1,"Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4",iOS 8.1.2,Safari 8.0,108.7.222.14,768,,R_1gRNfqN6snnfXGj,No,3,1,3,3,3,1,3,3,3,2,3,3,2,1,1,3,46,CBC1_1474925155_6,,9,6,7,4,11,31,6,4,4,8,6,7,12,8,23,6
1,143,22 Nov 2016 - 19:34:57 EST,22 Nov 2016 - 19:43:58 EST,0h 9m 1s,0h 8m 58s,1479861297,1479861838,1,5,,ToQualtrics,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Windows 10.0,Chrome 54.0.2840.99,75.134.12.149,1360,,R_1gvgBsVFhMuzCCN,No,2,1,2,1,2,3,1,3,2,2,2,3,3,2,1,3,143,CBC1_1474925155_6,,73,40,32,33,31,45,36,25,28,49,20,20,30,22,27,27
