"Version (0 = Fixed Task)","Task","Concept","Att 1 - Panel Efficiency","Att 2 - Panel Visibility","Att 3 - Inverter Type","Att 4 - Failure in First Five Years","Att 5 - Environmental Benefits","Att 6 - Savings in 25 Years"
0,1,1,2,2,2,3,1,5
0,1,2,1,2,1,2,2,4
0,1,3,2,2,2,2,2,5
1,1,1,1,1,2,2,3,5
1,1,2,3,2,1,3,2,5
1,1,3,2,2,3,1,1,3
1,2,1,2,1,1,4,1,1
1,2,2,3,1,2,2,2,2
1,2,3,1,1,3,1,3,3
1,3,1,3,2,2,4,3,4
1,3,2,2,1,3,2,2,3
1,3,3,1,2,1,3,1,4
1,4,1,2,2,1,1,1,1
1,4,2,3,1,2,3,3,2
1,4,3,1,2,3,4,2,1
1,5,1,2,1,3,3,3,5
1,5,2,1,2,1,4,2,4
1,5,3,2,2,2,1,1,3
1,6,1,3,1,3,1,1,5
1,6,2,2,1,1,4,2,4
1,6,3,3,2,3,2,3,3
1,7,1,1,2,1,3,3,2
1,7,2,1,2,2,4,1,2
1,7,3,1,1,2,2,2,1
1,8,1,2,2,1,2,2,3
1,8,2,3,1,1,4,1,5
1,8,3,3,1,2,1,3,4
1,9,1,3,1,1,1,3,2
1,9,2,1,2,3,3,2,1
1,9,3,2,2,3,2,1,1
1,10,1,2,1,2,3,1,5
1,10,2,3,2,3,1,2,5
1,10,3,1,2,2,2,3,4
1,11,1,1,1,3,4,3,2
1,11,2,3,1,1,3,1,3
1,11,3,2,2,1,1,2,4
1,12,1,3,2,2,2,3,3
1,12,2,1,1,2,3,2,1
1,12,3,2,1,3,4,1,2
1,13,1,2,2,2,4,2,4
1,13,2,2,2,1,3,3,2
1,13,3,3,1,3,2,1,2
1,14,1,2,1,2,4,1,1
1,14,2,1,1,1,1,2,3
1,14,3,1,2,3,4,3,1
1,15,1,2,2,2,2,3,4
1,15,2,3,1,1,1,2,5
1,15,3,1,2,3,3,1,5
2,1,1,1,1,2,3,2,3
2,1,2,3,1,1,2,3,1
2,1,3,3,2,2,4,2,2
2,2,1,2,1,1,2,1,4
2,2,2,3,1,3,1,3,4
2,2,3,1,2,3,1,1,2
2,3,1,3,1,3,3,1,4
2,3,2,2,2,1,4,3,5
2,3,3,1,2,2,1,3,5
2,4,1,1,1,3,2,2,1
2,4,2,2,1,1,4,2,2
2,4,3,3,2,2,3,1,3
2,5,1,2,2,1,3,3,1
2,5,2,1,1,2,2,1,3
2,5,3,2,2,3,1,2,3
2,6,1,3,2,2,4,1,4
2,6,2,1,2,3,3,2,5
2,6,3,2,1,1,1,3,5
2,7,1,2,1,1,3,2,3
2,7,2,1,1,2,1,1,1
2,7,3,3,2,3,2,3,1
2,8,1,1,2,3,2,1,2
2,8,2,3,1,3,3,2,4
2,8,3,3,1,1,4,2,2
2,9,1,2,2,2,1,2,5
2,9,2,1,2,3,2,1,5
2,9,3,2,1,2,3,3,3
2,10,1,3,2,1,2,1,4
2,10,2,2,1,2,1,3,2
2,10,3,1,2,1,4,3,3
2,11,1,1,1,1,4,3,3
2,11,2,3,2,2,1,3,1
2,11,3,3,2,3,4,1,1
2,12,1,2,2,3,3,2,5
2,12,2,3,1,1,2,1,5
2,12,3,1,1,2,4,2,4
2,13,1,2,1,3,2,2,4
2,13,2,1,2,1,1,1,2
2,13,3,3,2,2,3,1,3
2,14,1,2,1,3,4,1,1
2,14,2,1,1,1,1,2,2
2,14,3,3,1,2,3,3,1
2,15,1,3,2,3,2,3,2
2,15,2,2,2,2,1,3,2
2,15,3,1,1,2,3,2,4
3,1,1,2,1,3,4,3,3
3,1,2,3,2,1,2,2,5
3,1,3,1,1,1,3,1,3
3,2,1,1,2,3,1,1,4
3,2,2,3,2,1,4,3,3
3,2,3,2,1,2,2,2,5
3,3,1,1,2,2,4,2,1
3,3,2,2,1,1,2,1,2
3,3,3,2,2,1,3,3,1
3,4,1,3,1,3,4,3,4
3,4,2,2,2,3,3,2,5
3,4,3,3,1,3,1,1,5
3,5,1,2,1,3,3,3,4
3,5,2,3,2,1,1,1,4
3,5,3,1,1,2,2,3,5
3,6,1,3,1,2,1,2,2
3,6,2,1,2,2,2,2,3
3,6,3,2,2,2,4,1,2
3,7,1,3,1,1,2,2,1
3,7,2,1,2,3,1,3,1
3,7,3,1,1,3,3,1,1
3,8,1,1,2,1,4,3,5
3,8,2,2,1,2,2,1,4
3,8,3,3,2,1,3,2,3
3,9,1,1,1,3,4,3,4
3,9,2,2,2,2,1,1,3
3,9,3,3,2,3,1,2,2
3,10,1,2,2,2,4,3,5
3,10,2,3,1,2,4,1,3
3,10,3,1,1,1,2,1,4
3,11,1,2,2,3,1,2,5
3,11,2,1,1,1,3,3,5
3,11,3,3,1,3,4,2,3
3,12,1,3,2,1,3,2,2
3,12,2,2,2,3,2,3,2
3,12,3,3,1,1,3,1,1
3,13,1,2,2,1,4,1,2
3,13,2,1,1,2,1,2,2
3,13,3,1,1,2,2,3,1
3,14,1,3,2,1,1,2,4
3,14,2,2,1,2,1,3,2
3,14,3,1,2,3,3,1,4
3,15,1,2,2,3,2,2,3
3,15,2,3,2,3,3,3,5
3,15,3,1,1,1,2,1,5
4,1,1,3,2,2,3,1,1
4,1,2,2,1,2,4,2,1
4,1,3,2,2,1,1,3,1
4,2,1,1,1,3,4,3,2
4,2,2,1,1,2,1,2,4
4,2,3,2,2,1,3,1,3
4,3,1,1,2,2,4,2,3
4,3,2,3,1,1,2,3,1
4,3,3,3,1,3,2,1,2
4,4,1,1,2,1,2,3,4
4,4,2,2,1,2,3,3,4
4,4,3,3,1,3,4,2,3
4,5,1,3,2,2,1,1,1
